AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
24	0.6	-1.0	-1.0	0	150	1612	0.5255950440169547	670.0	0.41563275434243174	245	0.07988262145418976	130.0	0.5306122448979592	323	0.10531463971307467	152.0	0.47058823529411764	1632	0.5321160743397457	730.0	0.44730392156862747
25	0.8	0.0	0.0	0	150	1071	0.3492011737854581	473.0	0.44164332399626516	3050	0.9944571242256276	1593.0	0.5222950819672131	3056	0.9964134333224649	1159.0	0.37925392670157065	3050	0.9944571242256276	3844.0	1.260327868852459
26	0.8	-0.2	-0.2	0	150	1071	0.3492011737854581	473.0	0.44164332399626516	2596	0.846429735898272	1154.0	0.4445300462249615	2827	0.921747636126508	1048.0	0.3707110010611956	2623	0.8552331268340397	3693.0	1.4079298513152878
27	0.8	-0.4	-0.4	0	150	1071	0.3492011737854581	473.0	0.44164332399626516	1876	0.6116726442777959	860.0	0.4584221748400853	2233	0.7280730355396152	867.0	0.3882669055082848	1997	0.6511248777306814	2707.0	1.355533299949925
28	0.8	-0.6	-0.6	0	150	1071	0.3492011737854581	473.0	0.44164332399626516	1279	0.4170198891424845	614.0	0.4800625488663018	1606	0.5236387349201174	677.0	0.4215442092154421	1549	0.5050537985001631	1770.0	1.1426726920593933
29	0.8	-0.8	-0.8	0	150	1071	0.3492011737854581	473.0	0.44164332399626516	884	0.28822954026736225	465.0	0.5260180995475113	1070	0.34887512226931855	474.0	0.44299065420560746	1330	0.43364851646560154	1199.0	0.9015037593984963
30	0.8	-1.0	-1.0	0	150	1071	0.3492011737854581	473.0	0.44164332399626516	245	0.07988262145418976	130.0	0.5306122448979592	323	0.10531463971307467	152.0	0.47058823529411764	1121	0.3655037495924356	580.0	0.5173951828724354
31	1.0	0.0	0.0	0	150	314	0.10238017606781871	152.0	0.4840764331210191	3050	0.9944571242256276	1593.0	0.5222950819672131	3056	0.9964134333224649	1159.0	0.37925392670157065	3050	0.9944571242256276	4111.0	1.3478688524590163
32	1.0	-0.2	-0.2	0	150	314	0.10238017606781871	152.0	0.4840764331210191	2596	0.846429735898272	1154.0	0.4445300462249615	2827	0.921747636126508	1048.0	0.3707110010611956	2600	0.8477339419628301	4113.0	1.581923076923077
33	1.0	-0.4	-0.4	0	150	314	0.10238017606781871	152.0	0.4840764331210191	1876	0.6116726442777959	860.0	0.4584221748400853	2233	0.7280730355396152	867.0	0.3882669055082848	1896	0.6181936746005869	3168.0	1.6708860759493671
34	1.0	-0.6	-0.6	0	150	314	0.10238017606781871	152.0	0.4840764331210191	1279	0.4170198891424845	614.0	0.4800625488663018	1606	0.5236387349201174	677.0	0.4215442092154421	1319	0.4300619497880665	2165.0	1.6413949962092493
35	1.0	-0.8	-0.8	0	150	314	0.10238017606781871	152.0	0.4840764331210191	884	0.28822954026736225	465.0	0.5260180995475113	1070	0.34887512226931855	474.0	0.44299065420560746	957	0.3120313009455494	1448.0	1.5130616509926855
36	1.0	-1.0	-1.0	0	150	314	0.10238017606781871	152.0	0.4840764331210191	245	0.07988262145418976	130.0	0.5306122448979592	323	0.10531463971307467	152.0	0.47058823529411764	473	0.15422236713400717	447.0	0.945031712473573
