AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	Min Sim Neighbors	Min Best Neighbors	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	Rev MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF	Combined NN NO3 FN Predictions	NN NO3 FN Coverage	NN NO3 FN MAE Sum	NN FN MAE CF
1	0.0	-1.0	-1.0	0	0	1500	941	0.9978791092258749	474.0	0.5037194473963869	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	941	0.9978791092258749	474.0	0.5037194473963869	941	0.9978791092258749	474.0	0.5037194473963869
2	0.1	-1.0	-1.0	0	0	1500	860	0.911983032873807	417.0	0.4848837209302326	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	860	0.911983032873807	417.0	0.4848837209302326	860	0.911983032873807	417.0	0.4848837209302326
3	0.2	-1.0	-1.0	0	0	1500	699	0.7412513255567338	343.0	0.4907010014306152	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	699	0.7412513255567338	343.0	0.4907010014306152	699	0.7412513255567338	343.0	0.4907010014306152
4	0.3	-1.0	-1.0	0	0	1500	525	0.5567338282078473	273.0	0.52	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	525	0.5567338282078473	273.0	0.52	526	0.5577942735949099	274.0	0.5190114068441065
5	0.4	-1.0	-1.0	0	0	1500	378	0.40084835630965004	195.0	0.5158730158730159	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	382	0.4050901378579003	198.0	0.518324607329843	383	0.4061505832449629	199.0	0.5169712793733682
6	0.5	-1.0	-1.0	0	0	1500	276	0.2926829268292683	150.0	0.5434782608695652	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	283	0.30010604453870626	155.0	0.5477031802120141	283	0.30010604453870626	155.0	0.5477031802120141
7	0.6	-1.0	-1.0	0	0	1500	200	0.21208907741251326	113.0	0.565	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	210	0.22269353128313893	119.0	0.5666666666666667	210	0.22269353128313893	118.0	0.5666666666666667
8	0.7	-1.0	-1.0	0	0	1500	144	0.15270413573700956	88.0	0.6111111111111112	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	157	0.1664899257688229	95.0	0.6050955414012739	156	0.16542948038176034	94.0	0.6089743589743589
9	0.8	-1.0	-1.0	0	0	1500	109	0.11558854718981973	67.0	0.6146788990825688	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	125	0.1325556733828208	76.0	0.608	123	0.13043478260869565	74.0	0.6178861788617886
