AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	Min Sim Neighbors	Min Best Neighbors	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	Rev MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF	Combined NN NO3 FN Predictions	NN NO3 FN Coverage	NN NO3 FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	0	30	941	0.9978791092258749	445.0	0.4729011689691817	928	0.9840933191940615	780.0	0.8405172413793104	918	0.9734888653234358	806.0	0.8779956427015251	941	0.9978791092258749	445.0	0.4729011689691817	941	0.9978791092258749	445.0	0.4729011689691817
2	0.0	-0.1	-0.1	0	0	30	941	0.9978791092258749	445.0	0.4729011689691817	737	0.7815482502651113	420.0	0.5698778833107191	765	0.8112407211028632	553.0	0.722875816993464	941	0.9978791092258749	445.0	0.4729011689691817	941	0.9978791092258749	445.0	0.4729011689691817
3	0.1	0.0	0.0	0	0	30	860	0.911983032873807	410.0	0.47674418604651164	928	0.9840933191940615	780.0	0.8405172413793104	918	0.9734888653234358	806.0	0.8779956427015251	936	0.9925768822905621	464.0	0.49572649572649574	937	0.9936373276776246	467.0	0.4951974386339381
4	0.1	-0.1	-0.1	0	0	30	860	0.911983032873807	410.0	0.47674418604651164	737	0.7815482502651113	420.0	0.5698778833107191	765	0.8112407211028632	553.0	0.722875816993464	877	0.9300106044538706	419.0	0.47776510832383123	884	0.9374337221633086	425.0	0.47398190045248867
5	0.0	0.0	0.0	0	0	35	941	0.9978791092258749	450.0	0.4782146652497343	929	0.985153764581124	761.0	0.8191603875134553	920	0.975609756097561	793.0	0.8619565217391304	941	0.9978791092258749	450.0	0.4782146652497343	941	0.9978791092258749	450.0	0.4782146652497343
6	0.0	-0.1	-0.1	0	0	35	941	0.9978791092258749	450.0	0.4782146652497343	737	0.7815482502651113	416.0	0.5644504748982361	765	0.8112407211028632	551.0	0.7202614379084967	941	0.9978791092258749	450.0	0.4782146652497343	941	0.9978791092258749	450.0	0.4782146652497343
7	0.1	0.0	0.0	0	0	35	860	0.911983032873807	415.0	0.48255813953488375	929	0.985153764581124	761.0	0.8191603875134553	920	0.975609756097561	793.0	0.8619565217391304	936	0.9925768822905621	467.0	0.49893162393162394	937	0.9936373276776246	472.0	0.4983991462113127
8	0.1	-0.1	-0.1	0	0	35	860	0.911983032873807	415.0	0.48255813953488375	737	0.7815482502651113	416.0	0.5644504748982361	765	0.8112407211028632	551.0	0.7202614379084967	877	0.9300106044538706	424.0	0.48346636259977194	884	0.9374337221633086	430.0	0.4796380090497738
