AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	Min Sim Neighbors	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	Rev MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF	Combined NN NO3 FN Predictions	NN NO3 FN Coverage	NN NO3 FN MAE Sum	NN FN MAE CF
11	0.0	0.0	0.0	10	0	1500	941	0.9978791092258749	596.0	0.6333687566418703	919	0.9745493107104984	767.0	0.8346028291621328	815	0.8642629904559915	763.0	0.9361963190184049	941	0.9978791092258749	596.0	0.6333687566418703	941	0.9978791092258749	596.0	0.6333687566418703
12	0.05	0.0	0.0	10	0	1500	941	0.9978791092258749	592.0	0.6291179596174282	919	0.9745493107104984	767.0	0.8346028291621328	815	0.8642629904559915	763.0	0.9361963190184049	941	0.9978791092258749	592.0	0.6291179596174282	941	0.9978791092258749	592.0	0.6291179596174282
13	0.1	0.0	0.0	10	0	1500	940	0.9968186638388123	584.0	0.6212765957446809	919	0.9745493107104984	767.0	0.8346028291621328	815	0.8642629904559915	763.0	0.9361963190184049	941	0.9978791092258749	584.0	0.620616365568544	941	0.9978791092258749	585.0	0.620616365568544
14	0.15	0.0	0.0	10	0	1500	940	0.9968186638388123	581.0	0.6180851063829788	919	0.9745493107104984	767.0	0.8346028291621328	815	0.8642629904559915	763.0	0.9361963190184049	941	0.9978791092258749	581.0	0.6174282678002125	941	0.9978791092258749	582.0	0.6174282678002125
15	0.2	0.0	0.0	10	0	1500	937	0.9936373276776246	557.0	0.5944503735325507	919	0.9745493107104984	767.0	0.8346028291621328	815	0.8642629904559915	763.0	0.9361963190184049	940	0.9968186638388123	557.0	0.5925531914893617	940	0.9968186638388123	558.0	0.5925531914893617
16	0.0	0.0	0.0	15	0	1500	933	0.9893955461293743	624.0	0.6688102893890675	899	0.953340402969247	793.0	0.882091212458287	634	0.672322375397667	628.0	0.9905362776025236	940	0.9968186638388123	628.0	0.6680851063829787	933	0.9893955461293743	624.0	0.6730975348338692
17	0.05	0.0	0.0	15	0	1500	930	0.9862142099681867	620.0	0.6666666666666666	899	0.953340402969247	793.0	0.882091212458287	634	0.672322375397667	628.0	0.9905362776025236	940	0.9968186638388123	628.0	0.6680851063829787	931	0.9872746553552492	622.0	0.6745435016111708
18	0.1	0.0	0.0	15	0	1500	929	0.985153764581124	609.0	0.6555435952637244	899	0.953340402969247	793.0	0.882091212458287	634	0.672322375397667	628.0	0.9905362776025236	940	0.9968186638388123	617.0	0.6563829787234042	931	0.9872746553552492	611.0	0.6627282491944146
19	0.15	0.0	0.0	15	0	1500	925	0.9809119830328739	603.0	0.6518918918918919	899	0.953340402969247	793.0	0.882091212458287	634	0.672322375397667	628.0	0.9905362776025236	940	0.9968186638388123	614.0	0.6531914893617021	928	0.9840933191940615	605.0	0.6616379310344828
20	0.2	0.0	0.0	15	0	1500	919	0.9745493107104984	574.0	0.6245919477693145	899	0.953340402969247	793.0	0.882091212458287	634	0.672322375397667	628.0	0.9905362776025236	939	0.9957582184517497	590.0	0.6283280085197018	923	0.9787910922587487	576.0	0.6392199349945829
21	0.0	0.0	0.0	20	0	1500	849	0.9003181336161188	584.0	0.6878680800942285	773	0.8197242841993637	712.0	0.9210866752910737	515	0.5461293743372216	534.0	1.036893203883495	863	0.9151643690349947	604.0	0.6998841251448435	849	0.9003181336161188	584.0	0.7114252061248527
22	0.05	0.0	0.0	20	0	1500	843	0.8939554612937434	571.0	0.6773428232502966	773	0.8197242841993637	712.0	0.9210866752910737	515	0.5461293743372216	534.0	1.036893203883495	862	0.9141039236479321	596.0	0.691415313225058	843	0.8939554612937434	571.0	0.7069988137603797
23	0.1	0.0	0.0	20	0	1500	840	0.8907741251325557	558.0	0.6642857142857143	773	0.8197242841993637	712.0	0.9210866752910737	515	0.5461293743372216	534.0	1.036893203883495	862	0.9141039236479321	586.0	0.679814385150812	841	0.8918345705196182	558.0	0.6967895362663495
24	0.15	0.0	0.0	20	0	1500	832	0.8822905620360552	551.0	0.6622596153846154	773	0.8197242841993637	712.0	0.9210866752910737	515	0.5461293743372216	534.0	1.036893203883495	859	0.9109225874867445	581.0	0.6763678696158324	835	0.8854718981972428	551.0	0.6958083832335329
25	0.2	0.0	0.0	20	0	1500	817	0.8663838812301167	525.0	0.642594859241126	773	0.8197242841993637	712.0	0.9210866752910737	515	0.5461293743372216	534.0	1.036893203883495	853	0.9045599151643691	561.0	0.6576787807737398	821	0.870625662778367	525.0	0.6833130328867235
