AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
18	0.4	-1.0	-1.0	0	150	498	0.528101802757158	238.0	0.4779116465863454	52	0.05514316012725345	31.0	0.5961538461538461	57	0.060445387062566275	31.0	0.543859649122807	504	0.5344644750795334	253.0	0.501984126984127
19	0.6	0.0	0.0	0	150	300	0.3181336161187699	161.0	0.5366666666666666	935	0.9915164369034994	590.0	0.6310160427807486	940	0.9968186638388123	456.0	0.4851063829787234	935	0.9915164369034994	1167.0	1.2481283422459892
20	0.6	-0.2	-0.2	0	150	300	0.3181336161187699	161.0	0.5366666666666666	655	0.694591728525981	346.0	0.5282442748091603	783	0.8303287380699894	378.0	0.4827586206896552	677	0.7179215270413574	924.0	1.3648449039881831
21	0.6	-0.4	-0.4	0	150	300	0.3181336161187699	161.0	0.5366666666666666	394	0.4178154825026511	220.0	0.5583756345177665	492	0.5217391304347826	240.0	0.4878048780487805	474	0.5026511134676565	581.0	1.2257383966244726
22	0.6	-0.6	-0.6	0	150	300	0.3181336161187699	161.0	0.5366666666666666	248	0.26299045599151644	135.0	0.5443548387096774	301	0.31919406150583246	166.0	0.5514950166112956	381	0.40402969247083775	372.0	0.9763779527559056
23	0.6	-0.8	-0.8	0	150	300	0.3181336161187699	161.0	0.5366666666666666	144	0.15270413573700956	87.0	0.6041666666666666	182	0.19300106044538706	110.0	0.6043956043956044	340	0.3605514316012725	265.0	0.7794117647058824
24	0.6	-1.0	-1.0	0	150	300	0.3181336161187699	161.0	0.5366666666666666	52	0.05514316012725345	31.0	0.5961538461538461	57	0.060445387062566275	31.0	0.543859649122807	315	0.3340402969247084	190.0	0.6031746031746031
25	0.8	0.0	0.0	0	150	183	0.19406150583244963	109.0	0.5956284153005464	935	0.9915164369034994	590.0	0.6310160427807486	940	0.9968186638388123	456.0	0.4851063829787234	935	0.9915164369034994	1228.0	1.3133689839572193
26	0.8	-0.2	-0.2	0	150	183	0.19406150583244963	109.0	0.5956284153005464	655	0.694591728525981	346.0	0.5282442748091603	783	0.8303287380699894	378.0	0.4827586206896552	664	0.704135737009544	985.0	1.483433734939759
27	0.8	-0.4	-0.4	0	150	183	0.19406150583244963	109.0	0.5956284153005464	394	0.4178154825026511	220.0	0.5583756345177665	492	0.5217391304347826	240.0	0.4878048780487805	436	0.4623541887592789	636.0	1.4587155963302751
28	0.8	-0.6	-0.6	0	150	183	0.19406150583244963	109.0	0.5956284153005464	248	0.26299045599151644	135.0	0.5443548387096774	301	0.31919406150583246	166.0	0.5514950166112956	316	0.33510074231177095	394.0	1.2468354430379747
29	0.8	-0.8	-0.8	0	150	183	0.19406150583244963	109.0	0.5956284153005464	144	0.15270413573700956	87.0	0.6041666666666666	182	0.19300106044538706	110.0	0.6043956043956044	253	0.2682926829268293	257.0	1.0158102766798418
30	0.8	-1.0	-1.0	0	150	183	0.19406150583244963	109.0	0.5956284153005464	52	0.05514316012725345	31.0	0.5961538461538461	57	0.060445387062566275	31.0	0.543859649122807	206	0.21845174973488865	151.0	0.7330097087378641
31	1.0	0.0	0.0	0	150	59	0.06256627783669141	30.0	0.5084745762711864	935	0.9915164369034994	590.0	0.6310160427807486	940	0.9968186638388123	456.0	0.4851063829787234	935	0.9915164369034994	1270.0	1.358288770053476
32	1.0	-0.2	-0.2	0	150	59	0.06256627783669141	30.0	0.5084745762711864	655	0.694591728525981	346.0	0.5282442748091603	783	0.8303287380699894	378.0	0.4827586206896552	656	0.6956521739130435	1046.0	1.5945121951219512
33	1.0	-0.4	-0.4	0	150	59	0.06256627783669141	30.0	0.5084745762711864	394	0.4178154825026511	220.0	0.5583756345177665	492	0.5217391304347826	240.0	0.4878048780487805	401	0.4252386002120891	674.0	1.680798004987531
34	1.0	-0.6	-0.6	0	150	59	0.06256627783669141	30.0	0.5084745762711864	248	0.26299045599151644	135.0	0.5443548387096774	301	0.31919406150583246	166.0	0.5514950166112956	262	0.27783669141039236	419.0	1.599236641221374
35	1.0	-0.8	-0.8	0	150	59	0.06256627783669141	30.0	0.5084745762711864	144	0.15270413573700956	87.0	0.6041666666666666	182	0.19300106044538706	110.0	0.6043956043956044	168	0.17815482502651114	243.0	1.4464285714285714
36	1.0	-1.0	-1.0	0	150	59	0.06256627783669141	30.0	0.5084745762711864	52	0.05514316012725345	31.0	0.5961538461538461	57	0.060445387062566275	31.0	0.543859649122807	98	0.10392364793213149	102.0	1.0408163265306123
